Tool,Category,Auth_Type,Base_URL,Evidence_Endpoints_or_Queries,Required_Read_Scopes_or_Roles,Connector_Settings_JSON_Template,Evidence_Objects,Reference
Splunk,SIEM / Logging,Token/Basic,https://<host>:8089,"/services/search/jobs, /services/saved/searches, /services/data/indexes","search, list_storage_passwords not required, read-only search role","{""base_url"":""https://splunk:8089"",""auth_type"":""token"",""indexes"":[""main"",""security""],""critical_sourcetypes"":[""pan:traffic"",""okta:im2"",""crowdstrike:events""]}","Logs, notable events, correlation searches, data model freshness",Splunk REST API docs
Microsoft Sentinel,SIEM / Logging,Azure app registration OAuth2,https://management.azure.com + https://api.loganalytics.io,"/query, Microsoft.SecurityInsights incidents/rules","Log Analytics Reader, Microsoft Sentinel Reader","{""workspace_id"":""<id>"",""tenant_id"":""<tenant>"",""client_id"":""<app>"",""tables"":[""SigninLogs"",""SecurityEvent"",""CommonSecurityLog""]}","KQL query results, incidents, analytics rules",Microsoft Sentinel/Log Analytics API
Okta,IAM / Identity,API token or OAuth2,https://<tenant>.okta.com,"/api/v1/users, /api/v1/groups, /api/v1/logs, /api/v1/users/{id}/factors","okta.users.read, okta.groups.read, okta.logs.read, okta.apps.read","{""tenant_url"":""https://example.okta.com"",""auth_type"":""SSWS"",""mfa_required_groups"":[""Admins""],""stale_days"":90}","Users, factors, groups, system logs, apps",Okta Core API/User Factors/System Log
Microsoft Entra ID,IAM / Identity,Microsoft Graph OAuth2 app registration,https://graph.microsoft.com/v1.0,"/users, /groups, /auditLogs/signIns, /identity/conditionalAccess/policies, /identityProtection/riskyUsers","User.Read.All, Group.Read.All, Directory.Read.All, AuditLog.Read.All, Policy.Read.All, RoleManagement.Read.Directory, IdentityRiskEvent.Read.All","{""tenant_id"":""<tenant>"",""client_id"":""<app>"",""auth"":""client_credentials"",""privileged_roles"":[""Global Administrator""]}","Users, groups, CA policies, sign-ins, risky users, roles",Microsoft Graph docs
CrowdStrike Falcon,EDR / XDR,OAuth2 client id/secret,https://api.<region>.crowdstrike.com,"/devices/queries/devices/v1, /devices/entities/devices/v2, /detects/queries/detects/v1, /spotlight/combined/vulnerabilities/v1","Hosts:Read, Detections:Read, Incidents:Read, Spotlight vulnerabilities:Read","{""cloud"":""us-1"",""client_id"":""<id>"",""client_secret"":""<secret>"",""critical_groups"":[""prod"",""servers""]}","Hosts, sensor health, detections, incidents, vulnerabilities, containment state",CrowdStrike Falcon API docs
ServiceNow,ITSM / CMDB / GRC,Basic/OAuth2,https://<instance>.service-now.com,"/api/now/table/cmdb_ci, /incident, /change_request, /sn_vul_vulnerable_item, /sn_risk_risk","read access to CMDB, Incident, Change, Vulnerability Response, IRM/GRC if licensed","{""instance_url"":""https://company.service-now.com"",""tables"":[""cmdb_ci"",""incident"",""change_request""],""owner_field"":""owned_by""}","CIs, incidents, changes, risks, exceptions, vulnerabilities",ServiceNow Table API docs
Palo Alto Panorama,Network Firewall / SASE,API key,https://<panorama>/api/,"type=config/action=get, type=log/log-type=traffic, threat, config XPath rulebase","Read-only admin role for config, logs, objects","{""panorama_url"":""https://panorama"",""device_group"":""shared"",""vsys"":""vsys1"",""critical_zones"":[""prod"",""user"",""dmz""]}","Rulebase, address/service objects, zones, traffic logs, threat logs",Palo Alto PAN-OS XML/REST API docs
Tenable,Vulnerability Management,API keys,https://cloud.tenable.com,"/workbenches/vulnerabilities, /assets, /scans","Can View, Scan Operator/Basic read permissions","{""access_key"":""<key>"",""secret_key"":""<key>"",""critical_sla_days"":15,""high_sla_days"":30}","Assets, vulnerability findings, scan status, plugin severity",Tenable API docs
Qualys VMDR,Vulnerability Management,API user/password or OAuth,https://qualysapi.<platform>.com,"/api/2.0/fo/asset/host/, /api/2.0/fo/knowledge_base/vuln/",Manager/Reader API access,"{""platform"":""US1"",""auth"":""basic"",""asset_tags"":[""prod"",""pci""]}","Host assets, vulnerability detections, remediation status",Qualys API docs
Wiz,Cloud / CNAPP,OAuth2 client id/secret,https://api.<region>.app.wiz.io/graphql,"GraphQL queries: issues, vulnerabilities, cloudResources","read:issues, read:vulnerabilities, read:resources","{""client_id"":""<id>"",""client_secret"":""<secret>"",""region"":""us1"",""projects"":[""prod""]}","Cloud resources, issues, vulnerabilities, attack paths",Wiz API docs
