Framework,Control_ID,Control_Name,Control_or_Tactic_Category,Recommended_Tool_Categories_and_Tools,API_or_Query_To_Run,Connector_Settings_JSON,Normalized_Evidence_JSON,Validation_Logic,Metric,Scoring_Rule,Notes
CIS Controls v8,CIS 1,Inventory and Control of Enterprise Assets,EDR / CMDB / Cloud,"CrowdStrike, ServiceNow, Intune, Wiz",GET asset inventories; reconcile discovered assets to approved inventory,"{""tools"":[""CrowdStrike"",""ServiceNow"",""Intune""],""fields"":[""coverage"",""compliance"",""sla""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""CrowdStrike"",""evidence_object"":""control_evidence"",""key_fields"":[""id"",""status"",""evidence_date""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}",Validate: GET asset inventories; reconcile discovered assets to approved inventory,% assets discovered and owned,0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: % assets discovered and owned,Independent tab; no forced mapping
CIS Controls v8,CIS 2,Inventory and Control of Software Assets,EDR / App Control,"CrowdStrike, Intune, Panorama",GET installed software/app inventory; compare to approved software,"{""tools"":[""CrowdStrike"",""Intune"",""Panorama""],""fields"":[""coverage"",""compliance"",""sla""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""CrowdStrike"",""evidence_object"":""control_evidence"",""key_fields"":[""id"",""status"",""evidence_date""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}",Validate: GET installed software/app inventory; compare to approved software,% software approved/current,0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: % software approved/current,Independent tab; no forced mapping
CIS Controls v8,CIS 3,Data Protection,DLP / Cloud / Data Security,"Purview, Varonis, Prisma Cloud, Cyera","GET sensitive data locations, labels, DLP incidents","{""tools"":[""Purview"",""Varonis"",""Prisma Cloud""],""fields"":[""coverage"",""compliance"",""sla""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""Purview"",""evidence_object"":""control_evidence"",""key_fields"":[""id"",""status"",""evidence_date""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}","Validate: GET sensitive data locations, labels, DLP incidents",% sensitive data classified/protected,0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: % sensitive data classified/protected,Independent tab; no forced mapping
CIS Controls v8,CIS 4,Secure Configuration of Enterprise Assets and Software,Config / MDM / Cloud,"Intune, Tanium, Prisma Cloud, Panorama",GET baseline compliance and drift,"{""tools"":[""Intune"",""Tanium"",""Prisma Cloud""],""fields"":[""coverage"",""compliance"",""sla""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""Intune"",""evidence_object"":""control_evidence"",""key_fields"":[""id"",""status"",""evidence_date""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}",Validate: GET baseline compliance and drift,% assets compliant,0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: % assets compliant,Independent tab; no forced mapping
CIS Controls v8,CIS 5,Account Management,IAM,"Okta, Entra, SailPoint","GET users, status, stale/orphan accounts","{""tools"":[""Okta"",""Entra"",""SailPoint""],""fields"":[""coverage"",""compliance"",""sla""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""Okta"",""evidence_object"":""control_evidence"",""key_fields"":[""id"",""status"",""evidence_date""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}","Validate: GET users, status, stale/orphan accounts",% accounts current/authorized,0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: % accounts current/authorized,Independent tab; no forced mapping
CIS Controls v8,CIS 6,Access Control Management,IAM / PAM,"SailPoint, CyberArk, Entra PIM","GET entitlements, access reviews, PAM accounts","{""tools"":[""SailPoint"",""CyberArk"",""Entra PIM""],""fields"":[""coverage"",""compliance"",""sla""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""SailPoint"",""evidence_object"":""control_evidence"",""key_fields"":[""id"",""status"",""evidence_date""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}","Validate: GET entitlements, access reviews, PAM accounts",% access reviewed/least privilege,0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: % access reviewed/least privilege,Independent tab; no forced mapping
CIS Controls v8,CIS 7,Continuous Vulnerability Management,Vuln Mgmt,"Tenable, Qualys, Rapid7, CrowdStrike","GET scans, findings, remediation tickets","{""tools"":[""Tenable"",""Qualys"",""Rapid7""],""fields"":[""coverage"",""compliance"",""sla""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""Tenable"",""evidence_object"":""control_evidence"",""key_fields"":[""id"",""status"",""evidence_date""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}","Validate: GET scans, findings, remediation tickets",SLA compliance,0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: SLA compliance,Independent tab; no forced mapping
CIS Controls v8,CIS 8,Audit Log Management,SIEM,"Splunk, Sentinel, QRadar","GET log sources, last event, retention","{""tools"":[""Splunk"",""Sentinel"",""QRadar""],""fields"":[""coverage"",""compliance"",""sla""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""Splunk"",""evidence_object"":""control_evidence"",""key_fields"":[""id"",""status"",""evidence_date""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}","Validate: GET log sources, last event, retention",% required logs active,0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: % required logs active,Independent tab; no forced mapping
CIS Controls v8,CIS 9,Email and Web Browser Protections,Email / Web,"Proofpoint, Mimecast, Defender O365, Zscaler","GET policy status, events, blocked threats","{""tools"":[""Proofpoint"",""Mimecast"",""Defender O365""],""fields"":[""coverage"",""compliance"",""sla""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""Proofpoint"",""evidence_object"":""control_evidence"",""key_fields"":[""id"",""status"",""evidence_date""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}","Validate: GET policy status, events, blocked threats",policy coverage and incident rate,0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: policy coverage and incident rate,Independent tab; no forced mapping
CIS Controls v8,CIS 10,Malware Defenses,EDR,"CrowdStrike, Defender, SentinelOne",GET sensor/policy/detection status,"{""tools"":[""CrowdStrike"",""Defender"",""SentinelOne""],""fields"":[""coverage"",""compliance"",""sla""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""CrowdStrike"",""evidence_object"":""control_evidence"",""key_fields"":[""id"",""status"",""evidence_date""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}",Validate: GET sensor/policy/detection status,% endpoints protected,0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: % endpoints protected,Independent tab; no forced mapping
CIS Controls v8,CIS 11,Data Recovery,Backup,"Rubrik, Cohesity, Veeam",GET backup and restore job status,"{""tools"":[""Rubrik"",""Cohesity"",""Veeam""],""fields"":[""coverage"",""compliance"",""sla""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""Rubrik"",""evidence_object"":""control_evidence"",""key_fields"":[""id"",""status"",""evidence_date""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}",Validate: GET backup and restore job status,backup and restore success,0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: backup and restore success,Independent tab; no forced mapping
CIS Controls v8,CIS 12,Network Infrastructure Management,Network,"Panorama, Fortinet, Cisco","GET configs, firmware, rulebase, admin access","{""tools"":[""Panorama"",""Fortinet"",""Cisco""],""fields"":[""coverage"",""compliance"",""sla""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""Panorama"",""evidence_object"":""control_evidence"",""key_fields"":[""id"",""status"",""evidence_date""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}","Validate: GET configs, firmware, rulebase, admin access",% devices compliant/logging,0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: % devices compliant/logging,Independent tab; no forced mapping
