risk_id,title,description,category,severity,likelihood,status,asset_name,business_process,financial_exposure,threat_refs,regulatory_citation,owner,remediation_plan
RSK-001,Ransomware Attack on EHR System,"Ransomware encryption of electronic health record database causing extended patient care disruption and potential data loss",Endpoint Security,Critical,High,open,EHR Primary Database,Patient Care Delivery,4500000,T1486;T1490,"HIPAA 164.308(a)(7)(ii)(A)",CISO - J. Martinez,"Deploy EDR with anti-ransomware module; implement immutable backup strategy; conduct quarterly recovery drills"
RSK-002,Phishing Campaign Targeting Clinical Staff,"Spear-phishing emails impersonating internal departments to harvest credentials of clinical and administrative staff",Social Engineering,High,High,mitigating,Corporate Email Gateway,All Business Operations,800000,T1566.001;T1534,"NIST SP 800-53 AT-2",Security Awareness Lead - K. Chen,"Mandatory quarterly phishing simulations; deploy DMARC/DKIM/SPF; implement URL sandboxing on email gateway"
RSK-003,Third-Party Vendor Data Breach,"Compromise of patient data through third-party billing vendor with inadequate security controls",Supply Chain,Critical,Medium,open,Vendor Integration API,Revenue Cycle Management,6200000,T1199;T1078,"HIPAA 164.308(b)(1); HITECH Act",Vendor Risk Manager - S. Patel,"Enforce BAA security addendum; require SOC 2 Type II from all vendors; implement API gateway with DLP"
RSK-004,Insider Threat - Unauthorized Data Access,"Privileged users accessing patient records outside their authorized scope for personal gain or malice",Insider Threat,High,Medium,mitigating,Active Directory / IAM,Patient Care Delivery,2100000,T1078;T1530,"HIPAA 164.312(a)(1)",IAM Lead - R. Thompson,"Implement UEBA for anomalous access detection; enforce least privilege with quarterly access reviews; deploy break-the-glass alerting"
RSK-005,Cloud Storage Misconfiguration,"Misconfigured S3 buckets or Azure Blob containers exposing protected health information to the public internet",Cloud Security,Critical,Medium,open,AWS S3 - Clinical Data Lake,Data Analytics & Reporting,3800000,T1078.004;T1530,"HIPAA 164.312(e)(1)",Cloud Security Architect - M. Lee,"Enable AWS Config rules for public access detection; deploy CSPM tooling; enforce encryption-at-rest via SCP"
RSK-006,Unpatched Critical Vulnerabilities,"Known critical CVEs remaining unpatched beyond SLA on internet-facing systems including patient portal and telehealth platforms",Vulnerability Management,High,High,mitigating,Patient Portal Web Server,Patient Engagement,1500000,T1190;T1203,"PCI DSS 6.2; HIPAA 164.308(a)(5)(ii)(B)",Patch Management Lead - D. Kim,"Automate patch deployment pipeline; reduce critical patch SLA to 72 hours; implement virtual patching via WAF"
RSK-007,PHI Data Breach via Application Vulnerability,"SQL injection or API abuse leading to exfiltration of protected health information from clinical applications",Application Security,Critical,Medium,open,Clinical Lab Results Portal,Laboratory Services,5500000,T1505;T1048,"HIPAA 164.312(e)(2)(ii)",Application Security Lead - A. Nguyen,"Implement parameterized queries across all apps; deploy WAF with OWASP ruleset; conduct annual penetration testing"
RSK-008,DDoS Attack on Patient Portal,"Distributed denial of service attack rendering patient-facing services unavailable during peak usage periods",Network Security,High,High,open,Public Load Balancer / CDN,Patient Engagement,950000,T1498;T1499,"HIPAA 164.308(a)(7)(i)",Network Operations Lead - B. Harris,"Procure DDoS mitigation service; implement rate limiting and geo-blocking; establish incident response playbook"
RSK-009,Software Supply Chain Attack,"Compromised dependency or build pipeline injecting malicious code into internally developed healthcare applications",Supply Chain,High,Low,open,CI/CD Pipeline - Jenkins,Software Development,3200000,T1195.001;T1195.002,"NIST SP 800-161",DevSecOps Lead - C. Rivera,"Implement software composition analysis in CI pipeline; enforce signed commits; deploy dependency lockfiles and integrity verification"
RSK-010,Credential Stuffing on Provider Portal,"Automated credential stuffing attacks using breached credential databases against physician and staff login portals",Identity & Access,High,High,mitigating,Provider SSO Gateway,Clinical Operations,1200000,T1110.004;T1078,"HIPAA 164.312(d)",IAM Lead - R. Thompson,"Enforce MFA on all provider accounts; deploy credential breach monitoring; implement progressive account lockout"
