Category,Rank,Tool,Library_Status,Implementation_Note
IAM / Identity,1,Okta,Connector candidate,Use category connector pattern; vendor-specific endpoint template required
IAM / Identity,2,Microsoft Entra ID,Connector candidate,Use category connector pattern; vendor-specific endpoint template required
IAM / Identity,3,SailPoint IdentityNow,Connector candidate,Use category connector pattern; vendor-specific endpoint template required
IAM / Identity,4,CyberArk,Connector candidate,Use category connector pattern; vendor-specific endpoint template required
IAM / Identity,5,Delinea,Connector candidate,Use category connector pattern; vendor-specific endpoint template required
IAM / Identity,6,ForgeRock,Connector candidate,Use category connector pattern; vendor-specific endpoint template required
IAM / Identity,7,Ping Identity,Connector candidate,Use category connector pattern; vendor-specific endpoint template required
IAM / Identity,8,Duo,Connector candidate,Use category connector pattern; vendor-specific endpoint template required
IAM / Identity,9,OneLogin,Connector candidate,Use category connector pattern; vendor-specific endpoint template required
IAM / Identity,10,JumpCloud,Connector candidate,Use category connector pattern; vendor-specific endpoint template required
SIEM / Logging,1,Splunk,Connector candidate,Use category connector pattern; vendor-specific endpoint template required
SIEM / Logging,2,Microsoft Sentinel,Connector candidate,Use category connector pattern; vendor-specific endpoint template required
SIEM / Logging,3,IBM QRadar,Connector candidate,Use category connector pattern; vendor-specific endpoint template required
SIEM / Logging,4,Google Chronicle,Connector candidate,Use category connector pattern; vendor-specific endpoint template required
SIEM / Logging,5,Elastic Security,Connector candidate,Use category connector pattern; vendor-specific endpoint template required
SIEM / Logging,6,LogRhythm,Connector candidate,Use category connector pattern; vendor-specific endpoint template required
SIEM / Logging,7,Sumo Logic,Connector candidate,Use category connector pattern; vendor-specific endpoint template required
SIEM / Logging,8,Devo,Connector candidate,Use category connector pattern; vendor-specific endpoint template required
SIEM / Logging,9,Exabeam,Connector candidate,Use category connector pattern; vendor-specific endpoint template required
SIEM / Logging,10,Rapid7 InsightIDR,Connector candidate,Use category connector pattern; vendor-specific endpoint template required
EDR / XDR,1,CrowdStrike Falcon,Connector candidate,Use category connector pattern; vendor-specific endpoint template required
EDR / XDR,2,Microsoft Defender XDR,Connector candidate,Use category connector pattern; vendor-specific endpoint template required
EDR / XDR,3,Palo Alto Cortex XDR,Connector candidate,Use category connector pattern; vendor-specific endpoint template required
EDR / XDR,4,SentinelOne Singularity,Connector candidate,Use category connector pattern; vendor-specific endpoint template required
EDR / XDR,5,Trend Vision One,Connector candidate,Use category connector pattern; vendor-specific endpoint template required
EDR / XDR,6,Sophos Intercept X,Connector candidate,Use category connector pattern; vendor-specific endpoint template required
EDR / XDR,7,VMware Carbon Black,Connector candidate,Use category connector pattern; vendor-specific endpoint template required
EDR / XDR,8,Trellix XDR,Connector candidate,Use category connector pattern; vendor-specific endpoint template required
EDR / XDR,9,Elastic Defend,Connector candidate,Use category connector pattern; vendor-specific endpoint template required
EDR / XDR,10,Cisco Secure Endpoint,Connector candidate,Use category connector pattern; vendor-specific endpoint template required
Network Firewall / SASE,1,Palo Alto Panorama/NGFW,Connector candidate,Use category connector pattern; vendor-specific endpoint template required
Network Firewall / SASE,2,Fortinet FortiManager/FortiGate,Connector candidate,Use category connector pattern; vendor-specific endpoint template required
Network Firewall / SASE,3,Cisco Secure Firewall,Connector candidate,Use category connector pattern; vendor-specific endpoint template required
