Framework,Control_ID,Control_Name,Control_or_Tactic_Category,Recommended_Tool_Categories_and_Tools,API_or_Query_To_Run,Connector_Settings_JSON,Normalized_Evidence_JSON,Validation_Logic,Metric,Scoring_Rule,Notes
NIST CSF 2.0,GV.OC-01,Organizational mission understood,ITSM / CMDB / GRC,"ServiceNow, Archer, LogicGate","GET business services, criticality, owners from CMDB/IRM","{""tools"":[""ServiceNow""],""fields"":[""cmdb_ci_service.business_criticality"",""owned_by"",""business_owner""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""ServiceNow"",""evidence_object"":""business_service"",""key_fields"":[""sys_id"",""name"",""business_criticality"",""owner""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}","Every critical service has business owner, criticality, and dependent CIs",% critical services with required fields,0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: business service ownership and criticality completeness,Manual review only for quality of mission alignment
NIST CSF 2.0,GV.RM-01,Risk management objectives established,GRC / Risk,"ServiceNow IRM, Archer, OneTrust","GET risk appetite statements, risk criteria, risk register status","{""tools"":[""ServiceNow""],""fields"":[""sn_risk_risk"",""risk_appetite"",""risk_owner""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""ServiceNow"",""evidence_object"":""risk_register"",""key_fields"":[""risk_id"",""owner"",""rating"",""status"",""treatment""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}","Active risk register exists and cyber risks have owner, rating, treatment, due date",% cyber risks with complete treatment plans,0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: risk records complete and current,Partially API-validatable; policy quality requires review
NIST CSF 2.0,GV.RR-02,Cybersecurity roles and responsibilities established,ITSM / IAM,"ServiceNow, Okta, Entra","GET owner fields, assignment groups, privileged groups","{""tools"":[""ServiceNow"",""Okta"",""Microsoft Entra ID""],""fields"":[""owned_by"",""assignment_group"",""admin_groups""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""ServiceNow"",""evidence_object"":""assignment_group"",""key_fields"":[""group"",""owner"",""members""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}",Each critical control/tool has owner group and escalation contact,% controls/assets with accountable owner,0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: owner assignment completeness,
NIST CSF 2.0,GV.PO-01,Cybersecurity policy established,GRC / Document Mgmt,"ServiceNow IRM, Archer, OneTrust","GET policy records, review dates, approvals","{""tools"":[""ServiceNow""],""fields"":[""policy.status"",""last_reviewed"",""next_review_due""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""ServiceNow"",""evidence_object"":""policy"",""key_fields"":[""policy_id"",""status"",""owner"",""last_reviewed""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}",Policies are approved and reviewed within defined cadence,% policies current,0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: policy currency and approval completeness,Document quality not fully API-validatable
NIST CSF 2.0,GV.SC-04,Supplier risks known and managed,TPRM / GRC,"ServiceNow VRM, OneTrust, SecurityScorecard","GET vendor records, ratings, risk assessments, findings","{""tools"":[""ServiceNow""],""fields"":[""vendor"",""risk_rating"",""assessment_status"",""due_date""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""ServiceNow"",""evidence_object"":""vendor_risk"",""key_fields"":[""vendor"",""service"",""rating"",""assessment_status""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}",Critical vendors have current assessment and risk rating,% critical vendors assessed within 12 months,0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: critical supplier assessment coverage,
NIST CSF 2.0,ID.AM-01,Hardware inventory maintained,EDR / CMDB / Cloud,"CrowdStrike, ServiceNow, Intune, Wiz",GET endpoint and cloud asset inventory; compare to CMDB,"{""tools"":[""CrowdStrike Falcon"",""ServiceNow"",""Microsoft Intune""],""fields"":[""hostname"",""serial"",""last_seen"",""cmdb_ci""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""CrowdStrike"",""evidence_object"":""host_inventory"",""key_fields"":[""device_id"",""hostname"",""last_seen"",""sensor_version""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}",Assets in EDR/cloud are reconciled to CMDB and owner,% discovered assets mapped to CMDB owner,0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: asset reconciliation coverage,
NIST CSF 2.0,ID.AM-02,Software inventory maintained,EDR / App-ID / CMDB,"CrowdStrike, Panorama, ServiceNow","GET installed software, App-ID observed apps, approved software CIs","{""tools"":[""CrowdStrike Falcon"",""Panorama"",""ServiceNow""],""fields"":[""software.name"",""app_id"",""approved_app""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""CrowdStrike"",""evidence_object"":""software_inventory"",""key_fields"":[""device_id"",""software_name"",""version""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}",Discovered software/apps are approved or have owner/exception,% software/apps approved or risk-accepted,0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: approved software coverage,
NIST CSF 2.0,ID.AM-03,Network communication/data flows mapped,Network / SIEM,"Panorama, Splunk, Sentinel",GET firewall traffic logs and compare flows to approved dependencies,"{""tools"":[""Panorama"",""Splunk""],""fields"":[""src_zone"",""dst_zone"",""app"",""bytes"",""critical_app""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""Panorama"",""evidence_object"":""traffic_log"",""key_fields"":[""src"",""dst"",""app"",""port"",""action""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}",Critical apps have observed flows mapped to approved dependencies,% critical app flows documented,0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: documented and approved flow coverage,
NIST CSF 2.0,ID.AM-04,External services cataloged,IAM / CMDB / SIEM,"ServiceNow, Okta, Entra, Splunk","GET guest users, federated apps, vendor CIs, external domains","{""tools"":[""ServiceNow"",""Okta"",""Microsoft Entra ID""],""fields"":[""vendor"",""guest_user"",""federated_app""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""Microsoft Entra ID"",""evidence_object"":""guest_users"",""key_fields"":[""id"",""userPrincipalName"",""createdDateTime""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}","External identities/services have sponsor, expiration, and vendor owner",% external services/guest accounts sponsored and reviewed,0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: external access governance coverage,
NIST CSF 2.0,ID.RA-01,Vulnerabilities identified,Vulnerability Mgmt,"Tenable, Qualys, CrowdStrike, Rapid7",GET vulnerabilities by asset/severity; compare to scan coverage,"{""tools"":[""Tenable"",""CrowdStrike Falcon""],""fields"":[""asset_id"",""severity"",""cve"",""first_seen""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""Tenable"",""evidence_object"":""vulnerability"",""key_fields"":[""asset"",""plugin_id"",""severity"",""first_seen""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}",Critical assets scanned; vulnerabilities documented,scan coverage and vuln documentation rate,0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: vulnerability scan coverage and documentation,
