Framework,Control_ID,Control_Name,Control_or_Tactic_Category,Recommended_Tool_Categories_and_Tools,API_or_Query_To_Run,Connector_Settings_JSON,Normalized_Evidence_JSON,Validation_Logic,Metric,Scoring_Rule,Notes
NIST SP 800-53 Rev. 5,AC-2,Account Management,IAM / ITSM,"Okta, Entra, SailPoint, ServiceNow",GET /api/v1/users; GET /api/v1/logs; GET /api/v1/users/{id}/factors,"{""tools"":[""Okta"",""Entra"",""SailPoint""],""fields"":[""control_evidence"",""users, groups, lifecycle, access tickets""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""Okta"",""evidence_object"":""users"",""key_fields"":[""id"",""status"",""owner"",""timestamp""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}","Validate: Active accounts authorized, reviewed, disabled timely",% pass rate / coverage / SLA,"0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: Active accounts authorized, reviewed, disabled timely",Independent tab; no framework mapping required
NIST SP 800-53 Rev. 5,AC-3,Access Enforcement,IAM / Network,"Okta, Entra, Panorama, CyberArk",GET /api/v1/users; GET /api/v1/logs; GET /api/v1/users/{id}/factors,"{""tools"":[""Okta"",""Entra"",""Panorama""],""fields"":[""control_evidence"",""policy assignments, firewall rules, privileged roles""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""Okta"",""evidence_object"":""policy assignments"",""key_fields"":[""id"",""status"",""owner"",""timestamp""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}",Validate: Access rules enforce approved authorization,% pass rate / coverage / SLA,0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: Access rules enforce approved authorization,Independent tab; no framework mapping required
NIST SP 800-53 Rev. 5,AC-6,Least Privilege,IAM / PAM,"Entra PIM, CyberArk, SailPoint",Tool-specific API,"{""tools"":[""Entra PIM"",""CyberArk"",""SailPoint""],""fields"":[""control_evidence"",""role assignments, access reviews, PAM safes""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""Entra PIM"",""evidence_object"":""role assignments"",""key_fields"":[""id"",""status"",""owner"",""timestamp""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}",Validate: Privileged roles minimized and approved,% pass rate / coverage / SLA,0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: Privileged roles minimized and approved,Independent tab; no framework mapping required
NIST SP 800-53 Rev. 5,AC-17,Remote Access,IAM / Network,"Okta, Entra, Prisma Access, GlobalProtect",GET /api/v1/users; GET /api/v1/logs; GET /api/v1/users/{id}/factors,"{""tools"":[""Okta"",""Entra"",""Prisma Access""],""fields"":[""control_evidence"",""VPN logs, CA policies, MFA factors""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""Okta"",""evidence_object"":""VPN logs"",""key_fields"":[""id"",""status"",""owner"",""timestamp""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}","Validate: Remote access requires MFA, device trust, logging",% pass rate / coverage / SLA,"0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: Remote access requires MFA, device trust, logging",Independent tab; no framework mapping required
NIST SP 800-53 Rev. 5,AU-2,Event Logging,SIEM,"Splunk, Sentinel, QRadar",POST /services/search/jobs + GET /services/search/jobs/{sid}/results,"{""tools"":[""Splunk"",""Sentinel"",""QRadar""],""fields"":[""control_evidence"",""indexes, sourcetypes, log sources""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""Splunk"",""evidence_object"":""indexes"",""key_fields"":[""id"",""status"",""owner"",""timestamp""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}",Validate: Required event types logged,% pass rate / coverage / SLA,0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: Required event types logged,Independent tab; no framework mapping required
NIST SP 800-53 Rev. 5,AU-6,"Audit Record Review, Analysis, and Reporting",SIEM / ITSM,"Splunk, ServiceNow",POST /services/search/jobs + GET /services/search/jobs/{sid}/results,"{""tools"":[""Splunk"",""ServiceNow""],""fields"":[""control_evidence"",""notables, incidents, reports""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""Splunk"",""evidence_object"":""notables"",""key_fields"":[""id"",""status"",""owner"",""timestamp""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}",Validate: Audit events reviewed and escalated,% pass rate / coverage / SLA,0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: Audit events reviewed and escalated,Independent tab; no framework mapping required
NIST SP 800-53 Rev. 5,AU-12,Audit Record Generation,SIEM / Endpoint / Network,"Splunk, CrowdStrike, Panorama",POST /services/search/jobs + GET /services/search/jobs/{sid}/results,"{""tools"":[""Splunk"",""CrowdStrike"",""Panorama""],""fields"":[""control_evidence"",""last log timestamps, source status""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""Splunk"",""evidence_object"":""last log timestamps"",""key_fields"":[""id"",""status"",""owner"",""timestamp""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}",Validate: Systems generate required audit records,% pass rate / coverage / SLA,0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: Systems generate required audit records,Independent tab; no framework mapping required
NIST SP 800-53 Rev. 5,CA-7,Continuous Monitoring,SIEM / GRC,"Splunk, Sentinel, ServiceNow",POST /services/search/jobs + GET /services/search/jobs/{sid}/results,"{""tools"":[""Splunk"",""Sentinel"",""ServiceNow""],""fields"":[""control_evidence"",""dashboards, alerts, control tests""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""Splunk"",""evidence_object"":""dashboards"",""key_fields"":[""id"",""status"",""owner"",""timestamp""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}",Validate: Continuous monitoring implemented and reporting,% pass rate / coverage / SLA,0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: Continuous monitoring implemented and reporting,Independent tab; no framework mapping required
NIST SP 800-53 Rev. 5,CM-2,Baseline Configuration,Config / Network / EDR,"Panorama, Intune, CrowdStrike",GET /api/?type=config&action=get&xpath=<xpath>; type=log,"{""tools"":[""Panorama"",""Intune"",""CrowdStrike""],""fields"":[""control_evidence"",""policy config, drift results""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""Panorama"",""evidence_object"":""policy config"",""key_fields"":[""id"",""status"",""owner"",""timestamp""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}",Validate: Baseline configurations documented and enforced,% pass rate / coverage / SLA,0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: Baseline configurations documented and enforced,Independent tab; no framework mapping required
NIST SP 800-53 Rev. 5,CM-3,Configuration Change Control,ITSM / Network,"ServiceNow, Panorama",GET /api/now/table/<table>?sysparm_query=<query>,"{""tools"":[""ServiceNow"",""Panorama""],""fields"":[""control_evidence"",""change tickets, config commits""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""ServiceNow"",""evidence_object"":""change tickets"",""key_fields"":[""id"",""status"",""owner"",""timestamp""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}",Validate: Production config changes approved and logged,% pass rate / coverage / SLA,0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: Production config changes approved and logged,Independent tab; no framework mapping required
