Framework,Control_ID,Control_Name,Control_or_Tactic_Category,Recommended_Tool_Categories_and_Tools,API_or_Query_To_Run,Connector_Settings_JSON,Normalized_Evidence_JSON,Validation_Logic,Metric,Scoring_Rule,Notes
MITRE ATT&CK Enterprise,T1078,Valid Accounts,Credential Access / Defense Evasion,"Okta, Entra, Splunk, CrowdStrike",Tool-specific APIs/SIEM queries mapped to ATT&CK data sources,"{""tools"":[""Okta"",""Entra"",""Splunk""],""fields"":[""technique_id"",""detection_rule"",""telemetry_source""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""Okta"",""evidence_object"":""sign-in logs"",""key_fields"":[""event_id"",""user"",""host"",""process"",""network""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}","Detect anomalous logins, impossible travel, new device, privilege abuse",Detection coverage + telemetry freshness + alert triage,"0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: detection telemetry present, rule enabled, alert reviewed","MITRE tab is threat/detection coverage, not compliance mapping"
MITRE ATT&CK Enterprise,T1110,Brute Force,Credential Access,"Okta, Entra, Splunk",Tool-specific APIs/SIEM queries mapped to ATT&CK data sources,"{""tools"":[""Okta"",""Entra"",""Splunk""],""fields"":[""technique_id"",""detection_rule"",""telemetry_source""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""Okta"",""evidence_object"":""auth logs"",""key_fields"":[""event_id"",""user"",""host"",""process"",""network""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}",Detect failed auth spikes/password spray patterns,Detection coverage + telemetry freshness + alert triage,"0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: detection telemetry present, rule enabled, alert reviewed","MITRE tab is threat/detection coverage, not compliance mapping"
MITRE ATT&CK Enterprise,T1059,Command and Scripting Interpreter,Execution,"CrowdStrike, Defender, Splunk",Tool-specific APIs/SIEM queries mapped to ATT&CK data sources,"{""tools"":[""CrowdStrike"",""Defender"",""Splunk""],""fields"":[""technique_id"",""detection_rule"",""telemetry_source""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""CrowdStrike"",""evidence_object"":""process events"",""key_fields"":[""event_id"",""user"",""host"",""process"",""network""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}",Detect suspicious shell/PowerShell/Bash command execution,Detection coverage + telemetry freshness + alert triage,"0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: detection telemetry present, rule enabled, alert reviewed","MITRE tab is threat/detection coverage, not compliance mapping"
MITRE ATT&CK Enterprise,T1105,Ingress Tool Transfer,Command and Control,"CrowdStrike, Splunk, Panorama",Tool-specific APIs/SIEM queries mapped to ATT&CK data sources,"{""tools"":[""CrowdStrike"",""Splunk"",""Panorama""],""fields"":[""technique_id"",""detection_rule"",""telemetry_source""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""CrowdStrike"",""evidence_object"":""network"",""key_fields"":[""event_id"",""user"",""host"",""process"",""network""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}",Detect suspicious downloads/transfers from untrusted sources,Detection coverage + telemetry freshness + alert triage,"0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: detection telemetry present, rule enabled, alert reviewed","MITRE tab is threat/detection coverage, not compliance mapping"
MITRE ATT&CK Enterprise,T1021,Remote Services,Lateral Movement,"Splunk, CrowdStrike, Panorama",Tool-specific APIs/SIEM queries mapped to ATT&CK data sources,"{""tools"":[""Splunk"",""CrowdStrike"",""Panorama""],""fields"":[""technique_id"",""detection_rule"",""telemetry_source""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""Splunk"",""evidence_object"":""network/auth/process logs"",""key_fields"":[""event_id"",""user"",""host"",""process"",""network""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}",Detect abnormal RDP/SSH/SMB/winrm and admin sessions,Detection coverage + telemetry freshness + alert triage,"0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: detection telemetry present, rule enabled, alert reviewed","MITRE tab is threat/detection coverage, not compliance mapping"
MITRE ATT&CK Enterprise,T1003,OS Credential Dumping,Credential Access,"CrowdStrike, Defender, Splunk",Tool-specific APIs/SIEM queries mapped to ATT&CK data sources,"{""tools"":[""CrowdStrike"",""Defender"",""Splunk""],""fields"":[""technique_id"",""detection_rule"",""telemetry_source""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""CrowdStrike"",""evidence_object"":""EDR detections"",""key_fields"":[""event_id"",""user"",""host"",""process"",""network""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}","Detect LSASS access, dumping tools, credential theft behavior",Detection coverage + telemetry freshness + alert triage,"0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: detection telemetry present, rule enabled, alert reviewed","MITRE tab is threat/detection coverage, not compliance mapping"
MITRE ATT&CK Enterprise,T1566,Phishing,Initial Access,"Proofpoint, Mimecast, Defender O365, Splunk",Tool-specific APIs/SIEM queries mapped to ATT&CK data sources,"{""tools"":[""Proofpoint"",""Mimecast"",""Defender O365""],""fields"":[""technique_id"",""detection_rule"",""telemetry_source""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""Proofpoint"",""evidence_object"":""email events"",""key_fields"":[""event_id"",""user"",""host"",""process"",""network""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}","Detect malicious email, user clicks, payload delivery",Detection coverage + telemetry freshness + alert triage,"0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: detection telemetry present, rule enabled, alert reviewed","MITRE tab is threat/detection coverage, not compliance mapping"
MITRE ATT&CK Enterprise,T1190,Exploit Public-Facing Application,Initial Access,"WAF, Splunk, Tenable, Prisma Cloud",Tool-specific APIs/SIEM queries mapped to ATT&CK data sources,"{""tools"":[""WAF"",""Splunk"",""Tenable""],""fields"":[""technique_id"",""detection_rule"",""telemetry_source""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""WAF"",""evidence_object"":""WAF logs"",""key_fields"":[""event_id"",""user"",""host"",""process"",""network""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}",Detect exploit attempts and exposed vulnerable internet assets,Detection coverage + telemetry freshness + alert triage,"0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: detection telemetry present, rule enabled, alert reviewed","MITRE tab is threat/detection coverage, not compliance mapping"
MITRE ATT&CK Enterprise,T1041,Exfiltration Over C2 Channel,Exfiltration,"Panorama, Splunk, DLP, CrowdStrike",Tool-specific APIs/SIEM queries mapped to ATT&CK data sources,"{""tools"":[""Panorama"",""Splunk"",""DLP""],""fields"":[""technique_id"",""detection_rule"",""telemetry_source""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""Panorama"",""evidence_object"":""traffic logs"",""key_fields"":[""event_id"",""user"",""host"",""process"",""network""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}",Detect suspicious outbound data transfer to C2 destinations,Detection coverage + telemetry freshness + alert triage,"0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: detection telemetry present, rule enabled, alert reviewed","MITRE tab is threat/detection coverage, not compliance mapping"
MITRE ATT&CK Enterprise,T1053,Scheduled Task/Job,Persistence,"CrowdStrike, Splunk, Defender",Tool-specific APIs/SIEM queries mapped to ATT&CK data sources,"{""tools"":[""CrowdStrike"",""Splunk"",""Defender""],""fields"":[""technique_id"",""detection_rule"",""telemetry_source""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""CrowdStrike"",""evidence_object"":""process and OS event logs"",""key_fields"":[""event_id"",""user"",""host"",""process"",""network""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}",Detect suspicious task/cron/service creation,Detection coverage + telemetry freshness + alert triage,"0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: detection telemetry present, rule enabled, alert reviewed","MITRE tab is threat/detection coverage, not compliance mapping"
